Filename,Design Name,Category,Size,Price (EGP),Notes,Color Scheme,Image Path
WhatsApp Image 2026-07-09 at 23.43.56 (1).jpeg,Best Friends Forever,Positive Vibes,Large,150,Black with gold accents and colorful dots,Black + Gold,images/WhatsApp Image 2026-07-09 at 23.43.56 (1).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (2).jpeg,Dont Make Me Use My Teacher Voice,Positive Vibes,Medium,140,Black background with gold border motivational quote,Black + Gold,images/WhatsApp Image 2026-07-09 at 23.43.56 (2).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (3).jpeg,Positive Quote,Positive Vibes,Medium,140,Text-based design,Dark,images/WhatsApp Image 2026-07-09 at 23.43.56 (3).jpeg
WhatsApp Image 2026-07-09 at 23.43.56 (4).jpeg,Motivational Keychain,Positive Vibes,Medium,140,Inspirational message,Dark,images/WhatsApp Image 2026-07-09 at 23.43.56 (4).jpeg
WhatsApp Image 2026-07-09 at 23.43.56.jpeg,Positive Affirmation,Positive Vibes,Small,120,Uplifting quote keychain,Neutral,images/WhatsApp Image 2026-07-09 at 23.43.56.jpeg
WhatsApp Image 2026-07-09 at 23.45.08 (1).jpeg,But First Coffee,Positive Vibes,Medium,140,Natural wood oval with motivational quote,Wood + Black,images/WhatsApp Image 2026-07-09 at 23.45.08 (1).jpeg
WhatsApp Image 2026-07-09 at 23.45.08 (2).jpeg,Coffee Quote,Positive Vibes,Small,120,Coffee-themed motivational design,Wood,images/WhatsApp Image 2026-07-09 at 23.45.08 (2).jpeg
WhatsApp Image 2026-07-09 at 23.45.08.jpeg,Coffee Lover,Positive Vibes,Small,120,Simple coffee quote,Wood,images/WhatsApp Image 2026-07-09 at 23.45.08.jpeg
WhatsApp Image 2026-07-09 at 23.45.55.jpeg,Motivational Design,Positive Vibes,Medium,140,Inspirational text,Dark,images/WhatsApp Image 2026-07-09 at 23.45.55.jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (1).jpeg,Quote Keychain 1,Positive Vibes,Medium,140,Motivational message,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (1).jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (2).jpeg,Quote Keychain 2,Positive Vibes,Medium,140,Inspirational text,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (2).jpeg
WhatsApp Image 2026-07-09 at 23.45.56 (3).jpeg,Quote Keychain 3,Positive Vibes,Small,120,Uplifting message,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56 (3).jpeg
WhatsApp Image 2026-07-09 at 23.45.56.jpeg,Quote Keychain 4,Positive Vibes,Small,120,Motivational quote,Dark,images/WhatsApp Image 2026-07-09 at 23.45.56.jpeg
WhatsApp Image 2026-07-09 at 23.47.31.jpeg,Cute Girl Character,Cute Friends,Large,150,Character illustration with personality,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.31.jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (1).jpeg,Cute Illustration 1,Cute Friends,Large,150,Adorable character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (2).jpeg,Cute Illustration 2,Cute Friends,Large,150,Sweet character with details,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (2).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (3).jpeg,Girl with Ladybug,Cute Friends,Large,150,Charming illustration with bug and flowers,Wood + Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (3).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (4).jpeg,Cute Character 1,Cute Friends,Medium,140,Sweet character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (4).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (5).jpeg,Cute Character 2,Cute Friends,Medium,140,Adorable illustration,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (5).jpeg
WhatsApp Image 2026-07-09 at 23.47.32 (6).jpeg,Cute Character 3,Cute Friends,Medium,140,Charming character,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32 (6).jpeg
WhatsApp Image 2026-07-09 at 23.47.32.jpeg,Cute Character 4,Cute Friends,Small,120,Simple character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.47.32.jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (1).jpeg,Floral Design 1,Soft & Floral,Large,150,Beautiful flower arrangement,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (2).jpeg,Floral Design 2,Soft & Floral,Large,150,Elegant flower pattern,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (2).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (3).jpeg,Floral Design 3,Soft & Floral,Large,150,Delicate flowers,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (3).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (4).jpeg,Floral Design 4,Soft & Floral,Medium,140,Nature-inspired pattern,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (4).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (5).jpeg,Floral Design 5,Soft & Floral,Medium,140,Soft flower design,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (5).jpeg
WhatsApp Image 2026-07-09 at 23.47.33 (6).jpeg,Floral Design 6,Soft & Floral,Medium,140,Botanical illustration,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33 (6).jpeg
WhatsApp Image 2026-07-09 at 23.47.33.jpeg,Floral Design 7,Soft & Floral,Small,120,Delicate flower keychain,Floral,images/WhatsApp Image 2026-07-09 at 23.47.33.jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (1).jpeg,Flower Keychain 1,Soft & Floral,Large,150,Pretty bloom design,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (2).jpeg,Flower Keychain 2,Soft & Floral,Large,150,Garden inspired,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (2).jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (3).jpeg,Flower Keychain 3,Soft & Floral,Medium,140,Bloom pattern,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (3).jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (4).jpeg,Flower Keychain 4,Soft & Floral,Medium,140,Floral arrangement,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (4).jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (5).jpeg,Flower Keychain 5,Soft & Floral,Medium,140,Botanical beauty,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (5).jpeg
WhatsApp Image 2026-07-09 at 23.47.34 (6).jpeg,Flower Keychain 6,Soft & Floral,Medium,140,Nature design,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34 (6).jpeg
WhatsApp Image 2026-07-09 at 23.47.34.jpeg,Flower Keychain 7,Soft & Floral,Small,120,Petite floral design,Floral,images/WhatsApp Image 2026-07-09 at 23.47.34.jpeg
WhatsApp Image 2026-07-09 at 23.47.35.jpeg,Flower Keychain 8,Soft & Floral,Small,120,Small flower charm,Floral,images/WhatsApp Image 2026-07-09 at 23.47.35.jpeg
WhatsApp Image 2026-07-09 at 23.47.37 (1) copy.jpeg,Fun Design 1,Fun Mood,Large,150,Playful illustration,Colorful,images/WhatsApp Image 2026-07-09 at 23.47.37 (1) copy.jpeg
WhatsApp Image 2026-07-09 at 23.47.37 (1).jpeg,Fun Design 2,Fun Mood,Large,150,Whimsical character,Colorful,images/WhatsApp Image 2026-07-09 at 23.47.37 (1).jpeg
WhatsApp Image 2026-07-09 at 23.47.37 copy.jpeg,Fun Design 3,Fun Mood,Medium,140,Playful design,Colorful,images/WhatsApp Image 2026-07-09 at 23.47.37 copy.jpeg
WhatsApp Image 2026-07-09 at 23.47.37.jpeg,Fun Design 4,Fun Mood,Medium,140,Cheerful illustration,Colorful,images/WhatsApp Image 2026-07-09 at 23.47.37.jpeg
WhatsApp Image 2026-07-09 at 23.47.38.jpeg,Fun Design 5,Fun Mood,Small,120,Small fun charm,Colorful,images/WhatsApp Image 2026-07-09 at 23.47.38.jpeg
WhatsApp Image 2026-07-09 at 23.49.26.jpeg,You Are Brave,Positive Vibes + Soft & Floral,Large,150,Yellow background with flowers and motivational text,Yellow + Green,images/WhatsApp Image 2026-07-09 at 23.49.26.jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (1).jpeg,Brave Quote Floral,Positive Vibes + Soft & Floral,Large,150,Motivational with floral border,Yellow + Floral,images/WhatsApp Image 2026-07-09 at 23.49.27 (1).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (2).jpeg,You Are Brave Floral,Positive Vibes + Soft & Floral,Large,150,Bright yellow with flowers and empowering message,Yellow + Floral,images/WhatsApp Image 2026-07-09 at 23.49.27 (2).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (3).jpeg,Floral Quote,Positive Vibes + Soft & Floral,Medium,140,Nature inspired motivational,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27 (3).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (4).jpeg,Positive Floral,Positive Vibes + Soft & Floral,Medium,140,Flowers with uplifting text,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27 (4).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (5).jpeg,Bloom Quote,Positive Vibes + Soft & Floral,Medium,140,Botanical motivational,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27 (5).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (6).jpeg,Floral Message,Positive Vibes + Soft & Floral,Medium,140,Inspirational with nature,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27 (6).jpeg
WhatsApp Image 2026-07-09 at 23.49.27 (7).jpeg,Brave Keychain,Positive Vibes + Soft & Floral,Small,120,Empowering design with flowers,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27 (7).jpeg
WhatsApp Image 2026-07-09 at 23.49.27.jpeg,Motivational Floral,Positive Vibes + Soft & Floral,Small,120,Small uplifting keychain,Mixed,images/WhatsApp Image 2026-07-09 at 23.49.27.jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (1).jpeg,Affirmation 1,Positive Vibes,Large,150,Empowering message,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (1).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (2).jpeg,Affirmation 2,Positive Vibes,Large,150,Inspirational quote,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (2).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (3).jpeg,Affirmation 3,Positive Vibes,Medium,140,Motivational text,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (3).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (4).jpeg,Affirmation 4,Positive Vibes,Medium,140,Uplifting quote,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (4).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (5).jpeg,Affirmation 5,Positive Vibes,Medium,140,Daily affirmation,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (5).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (6).jpeg,Affirmation 6,Positive Vibes,Medium,140,Encouragement message,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (6).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (7).jpeg,Affirmation 7,Positive Vibes,Small,120,Small positive message,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (7).jpeg
WhatsApp Image 2026-07-09 at 23.49.28 (8).jpeg,Affirmation 8,Positive Vibes,Small,120,Compact affirmation,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28 (8).jpeg
WhatsApp Image 2026-07-09 at 23.49.28.jpeg,Affirmation 9,Positive Vibes,Small,120,Mini positive keychain,Bold,images/WhatsApp Image 2026-07-09 at 23.49.28.jpeg
WhatsApp Image 2026-07-09 at 23.49.29 (1).jpeg,Quote Series 1,Positive Vibes,Large,150,Motivational series,Bold,images/WhatsApp Image 2026-07-09 at 23.49.29 (1).jpeg
WhatsApp Image 2026-07-09 at 23.49.29 (2).jpeg,Quote Series 2,Positive Vibes,Medium,140,Quote collection,Bold,images/WhatsApp Image 2026-07-09 at 23.49.29 (2).jpeg
WhatsApp Image 2026-07-09 at 23.49.29.jpeg,Quote Series 3,Positive Vibes,Small,120,Short positive quote,Bold,images/WhatsApp Image 2026-07-09 at 23.49.29.jpeg
WhatsApp Image 2026-07-09 at 23.49.41 (1).jpeg,Rainbow Design,Fun Mood,Large,150,Colorful and playful,Vibrant,images/WhatsApp Image 2026-07-09 at 23.49.41 (1).jpeg
WhatsApp Image 2026-07-09 at 23.49.41 (2).jpeg,Colorful Fun,Fun Mood,Large,150,Bright and cheerful,Vibrant,images/WhatsApp Image 2026-07-09 at 23.49.41 (2).jpeg
WhatsApp Image 2026-07-09 at 23.49.41 (3).jpeg,Playful Art,Fun Mood,Medium,140,Whimsical design,Vibrant,images/WhatsApp Image 2026-07-09 at 23.49.41 (3).jpeg
WhatsApp Image 2026-07-09 at 23.49.41 (4).jpeg,Happy Vibes,Fun Mood,Medium,140,Joyful illustration,Vibrant,images/WhatsApp Image 2026-07-09 at 23.49.41 (4).jpeg
WhatsApp Image 2026-07-09 at 23.49.41.jpeg,Fun Charm,Fun Mood,Small,120,Petite colorful design,Vibrant,images/WhatsApp Image 2026-07-09 at 23.49.41.jpeg
WhatsApp Image 2026-07-09 at 23.54.46 (1).jpeg,Design 1,Positive Vibes,Large,150,Motivational message,Dark,images/WhatsApp Image 2026-07-09 at 23.54.46 (1).jpeg
WhatsApp Image 2026-07-09 at 23.54.46 (2).jpeg,Design 2,Positive Vibes,Medium,140,Uplifting text,Dark,images/WhatsApp Image 2026-07-09 at 23.54.46 (2).jpeg
WhatsApp Image 2026-07-09 at 23.54.46 (3).jpeg,Design 3,Positive Vibes,Medium,140,Inspirational message,Dark,images/WhatsApp Image 2026-07-09 at 23.54.46 (3).jpeg
WhatsApp Image 2026-07-09 at 23.54.46.jpeg,Design 4,Positive Vibes,Small,120,Small keychain,Dark,images/WhatsApp Image 2026-07-09 at 23.54.46.jpeg
WhatsApp Image 2026-07-09 at 23.55.05.jpeg,Design 5,Soft & Floral,Large,150,Floral beauty,Floral,images/WhatsApp Image 2026-07-09 at 23.55.05.jpeg
WhatsApp Image 2026-07-09 at 23.55.21 (1).jpeg,Character 1,Cute Friends,Large,150,Adorable character,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.21 (1).jpeg
WhatsApp Image 2026-07-09 at 23.55.21 (2).jpeg,Character 2,Cute Friends,Medium,140,Sweet design,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.21 (2).jpeg
WhatsApp Image 2026-07-09 at 23.55.21.jpeg,Character 3,Cute Friends,Small,120,Small character,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.21.jpeg
WhatsApp Image 2026-07-09 at 23.55.22 (1).jpeg,Illustration 1,Cute Friends,Large,150,Detailed character,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.22 (1).jpeg
WhatsApp Image 2026-07-09 at 23.55.22 (2).jpeg,Illustration 2,Cute Friends,Medium,140,Character design,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.22 (2).jpeg
WhatsApp Image 2026-07-09 at 23.55.22 (3).jpeg,Illustration 3,Cute Friends,Medium,140,Character charm,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.22 (3).jpeg
WhatsApp Image 2026-07-09 at 23.55.22 (4).jpeg,Illustration 4,Cute Friends,Medium,140,Sweet illustration,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.22 (4).jpeg
WhatsApp Image 2026-07-09 at 23.55.22.jpeg,Illustration 5,Cute Friends,Small,120,Small character,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.22.jpeg
WhatsApp Image 2026-07-09 at 23.55.23 (1).jpeg,Art 1,Cute Friends,Large,150,Character art,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.23 (1).jpeg
WhatsApp Image 2026-07-09 at 23.55.23 (2).jpeg,Art 2,Cute Friends,Medium,140,Character illustration,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.23 (2).jpeg
WhatsApp Image 2026-07-09 at 23.55.23.jpeg,Art 3,Cute Friends,Small,120,Small art,Pastel,images/WhatsApp Image 2026-07-09 at 23.55.23.jpeg
